created_at,favorite_count,full_text,in_reply_to_screen_name,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
Tue Mar 26 09:30:37 +0000 2024,0,yg satu merah yg satu lupa finalisasi https://t.co/dNw1E3pVt8,,0,0,0,https://x.com/anetnoth/status/1772556753902924079,"1,31007E+18",anetnoth
Tue Mar 26 09:06:09 +0000 2024,0,Semoga tahun depan twit ku ga masum komunitas marah marah️,,0,0,0,https://x.com/chuudann/status/1772550598594113628,"1,25263E+18",chuudann
Tue Mar 26 09:00:23 +0000 2024,0,Komunitas marah-marah isinya emosi komunitas ramah-ramah isinya flexing berkedok macem-macem Sama-sama negative ujungnya bisa gaksih kita ngeblock komunitas?,,0,0,0,https://x.com/qusanali/status/1772549147096125508,"1,5207E+18",qusanali
Tue Mar 26 08:59:27 +0000 2024,0,@MoriMaruu41 @bluelockfess Dia mah masuk komunitas marah-marah kalau bahasannya Michael Kaiser doang ,MoriMaruu41,0,0,0,https://x.com/hsypov/status/1772548912219320580,"1,51487E+18",hsypov
Tue Mar 26 08:49:28 +0000 2024,0,@oujiyeonsing btw aku blm ngerti banyak soal komunitas twitter soalnya kadang ada tuh komunitas marah marah yg lewat di tl padahal aku ga join.,g24day,0,1,0,https://x.com/mcherrys_/status/1772546398808113251,"1,57425E+18",mcherrys_
Tue Mar 26 08:40:28 +0000 2024,0,Hiori masup bareng nagi Yang ramah-ramah harus ada nanase Kalo ada komunitas setengah-setengah (antara marah sama ramah) masupin isa kesitu aja ,,0,0,0,https://x.com/shutasouma/status/1772544133216833766,"1,49019E+18",shutasouma
Tue Mar 26 08:03:37 +0000 2024,0,kenapa bandung? liat aje blm ada 3 hari di bekasi twt gw jadi komunitas marah marah,,0,0,0,https://x.com/antedaneza/status/1772534858666885385,"1,54492E+18",antedaneza
Tue Mar 26 08:00:20 +0000 2024,0,apakah ini saatnya aku join komunitas marah marah,,0,1,0,https://x.com/baenga_/status/1772534032187773107,297430722,baenga_
Tue Mar 26 07:50:04 +0000 2024,0,@abudeomeo Komunitas marah-marah itu apaa,abudeomeo,0,1,0,https://x.com/heydoyi/status/1772531451684159991,"1,73347E+18",heydoyi
Tue Mar 26 07:49:18 +0000 2024,0,@hil_wah_ KETAWA sama komunitas ramah2 wind tp belakangnya keknya marah itu ,hil_wah_,0,0,0,https://x.com/Hilumiaa/status/1772531255705260291,1357211838,Hilumiaa
